ID,labels,cpe,description,cwe_id,cwe_name
CVE-2010-2076,"['maven:org.apache.cxf:cxf-bundle-jaxrs', 'maven:org.apache.cxf:cxf-bundle', 'maven:org.apache.cxf:cxf-bundle-minimal', 'maven:org.apache.axis2:axis2-kernel', 'maven:org.apache.cxf:cxf-rt-bindings-soap', 'maven:org.apache.cxf:cxf-common-utilities']",['apache cxf'],"Apache CXF 2.0.x before 2.0.13, 2.1.x before 2.1.10, and 2.2.x before 2.2.9, as used in Apache ServiceMix, Apache Camel, Apache Chemistry, Apache jUDDI, Apache Geronimo, and other products, does not properly reject DTDs in SOAP messages, which allows remote attackers to read arbitrary files, send HTTP requests to intranet servers, or cause a denial of service (CPU and memory consumption) via a crafted DTD, as demonstrated by an entity declaration in a request to samples/wsdl_first_pure_xml, a similar issue to CVE-2010-1632.",CWE-829,Inclusion of Functionality from Untrusted Control Sphere
CVE-2017-7667,['maven:org.apache.nifi:nifi-jetty'],['apache nifi'],Apache NiFi before 0.7.4 and 1.x before 1.3.0 need to establish the response header telling browsers to only allow framing with the same origin.,CWE-346,Origin Validation Error
CVE-2015-1830,"['maven:org.apache.activemq:activemq-fileserver', 'maven:org.apache.activemq:apache-activemq']",[],Directory traversal vulnerability in the fileserver upload/download functionality for blob messages in Apache ActiveMQ 5.x before 5.11.2 for Windows allows remote attackers to create JSP files in arbitrary directories via unspecified vectors.,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CVE-2017-1000406,['maven:org.opendaylight.aaa:aaa-cli'],['opendaylight karaf'],"OpenDaylight Karaf 0.6.1-Carbon fails to clear the cache after a password change, allowing the old password to be used until the Karaf cache is manually cleared (e.g. via restart).",,
CVE-2014-3681,['maven:org.jenkins-ci.main:jenkins-core'],"['redhat openshift', 'jenkins jenkins']",Cross-site scripting (XSS) vulnerability in Jenkins before 1.583 and LTS before 1.565.3 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2017-7662,['maven:org.apache.cxf.fediz:fediz-cxf'],['apache cxf_fediz'],"Apache CXF Fediz ships with an OpenId Connect (OIDC) service which has a Client Registration Service, which is a simple web application that allows clients to be created, deleted, etc. A CSRF (Cross Style Request Forgery) style vulnerability has been found in this web application in Apache CXF Fediz prior to 1.4.0 and 1.3.2, meaning that a malicious web application could create new clients, or reset secrets, etc, after the admin user has logged on to the client registration service and the session is still active.",CWE-352,Cross-Site Request Forgery (CSRF)
CVE-2016-3727,['maven:org.jenkins-ci.main:jenkins-core'],"['jenkins jenkins', 'redhat openshift']",The API URL computer/(master)/api/xml in Jenkins before 2.3 and LTS before 1.651.2 allows remote authenticated users with extended read permission for the master node to obtain sensitive information about the global configuration via unspecified vectors.,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor
CVE-2020-14967,"['maven:org.webjars.bower:jsrsasign', 'maven:org.webjars.bowergithub.kjur:jsrsasign']","['jsrsasign_project jsrsasign', 'netapp max_data']",An issue was discovered in the jsrsasign package before 8.0.18 for Node.js. Its RSA PKCS1 v1.5 decryption implementation does not detect ciphertext modification by prepending '\0' bytes to ciphertexts (it decrypts modified ciphertexts without error). An attacker might prepend these bytes with the goal of triggering memory corruption issues.,CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer
CVE-2012-3428,"['maven:org.jboss.ironjacamar:ironjacamar-jdbc', 'maven:org.jboss.ironjacamar:ironjacamar-deployers-common']",['jboss ironjacamar'],"The IronJacamar container before 1.0.12.Final for JBoss Application Server, when allow-multiple-users is enabled in conjunction with a security domain, does not use the credentials supplied in a getConnection function call, which allows remote attackers to obtain access to an arbitrary datasource connection in opportunistic circumstances via an invalid connection attempt.",,
CVE-2012-5055,['maven:org.springframework.security:spring-security-core'],['vmware springsource_spring_security'],"DaoAuthenticationProvider in VMware SpringSource Spring Security before 2.0.8, 3.0.x before 3.0.8, and 3.1.x before 3.1.3 does not check the password if the user is not found, which makes the response delay shorter and might allow remote attackers to enumerate valid usernames via a series of login requests.",CWE-200,Exposure of Sensitive Information to an Unauthorized Actor
CVE-2018-11651,['maven:org.graylog2:graylog2-server'],['graylog graylog'],"Graylog before v2.4.4 has an XSS security issue with unescaped text in dashboard names, related to components/dashboard/Dashboard.jsx, components/dashboard/EditDashboardModal.jsx, and pages/ShowDashboardPage.jsx.",CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2016-8738,['maven:org.apache.struts:struts2-core'],['apache struts'],"In Apache Struts 2.5 through 2.5.5, if an application allows entering a URL in a form field and the built-in URLValidator is used, it is possible to prepare a special URL which will be used to overload server process when performing validation of the URL.",CWE-20,Improper Input Validation
CVE-2020-1937,['maven:org.apache.kylin:kylin-server-base'],['apache kylin'],"Kylin has some restful apis which will concatenate SQLs with the user input string, a user is likely to be able to run malicious database queries.",CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CVE-2020-2196,['maven:org.jenkins-ci.plugins:selenium'],['jenkins selenium'],"Jenkins Selenium Plugin 3.141.59 and earlier has no CSRF protection for its HTTP endpoints, allowing attackers to perform all administrative actions provided by the plugin.",CWE-352,Cross-Site Request Forgery (CSRF)
CVE-2021-43797,"['maven:io.netty:netty-all', 'maven:io.netty:netty-codec-http']","['netty netty', 'quarkus quarkus', 'netapp snapcenter', 'netapp oncommand_workflow_automation', 'oracle banking_platform', 'oracle peoplesoft_enterprise_peopletools', 'oracle coherence', 'oracle communications_cloud_native_core_security_edge_protection_proxy', 'oracle banking_party_management', 'oracle communications_design_studio', 'oracle communications_cloud_native_core_policy', 'oracle communications_cloud_native_core_unified_data_repository', 'oracle communications_cloud_native_core_network_slice_selection_function', 'oracle communications_cloud_native_core_binding_support_function', 'oracle helidon', 'oracle communications_instant_messaging_server', 'oracle banking_deposits_and_lines_of_credit_servicing', 'debian debian_linux']","Netty is an asynchronous event-driven network application framework for rapid development of maintainable high performance protocol servers & clients. Netty prior to version 4.1.71.Final skips control chars when they are present at the beginning / end of the header name. It should instead fail fast as these are not allowed by the spec and could lead to HTTP request smuggling. Failing to do the validation might cause netty to ""sanitize"" header names before it forward these to another remote system when used as proxy. This remote system can't see the invalid usage anymore, and therefore does not do the validation itself. Users should upgrade to version 4.1.71.Final.",CWE-444,Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling')
CVE-2015-6584,"['maven:org.webjars.npm:datatables', 'maven:org.webjars.bower:datatables', 'maven:org.webjars:datatables']",['sprymedia datatables'],Cross-site scripting (XSS) vulnerability in the DataTables plugin 1.10.8 and earlier for jQuery allows remote attackers to inject arbitrary web script or HTML via the scripts parameter to media/unit_testing/templates/6776.php.,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2019-17561,['maven:org.netbeans.api:org-netbeans-modules-autoupdate-services'],"['apache netbeans', 'oracle graalvm']","The ""Apache NetBeans"" autoupdate system does not fully validate code signatures. An attacker could modify the downloaded nbm and include additional code. ""Apache NetBeans"" versions up to and including 11.2 are affected by this vulnerability.",CWE-347,Improper Verification of Cryptographic Signature
CVE-2022-24197,['maven:com.itextpdf:kernel'],['itextpdf itext'],"iText v7.1.17 was discovered to contain a stack-based buffer overflow via the component ByteBuffer.append, which allows attackers to cause a Denial of Service (DoS) via a crafted PDF file.",CWE-787,Out-of-bounds Write
CVE-2018-17186,"['maven:org.apache.syncope:syncope-core', 'maven:org.apache.syncope.client:syncope-client-console']",['apache syncope'],"An administrator with workflow definition entitlements can use DTD to perform malicious operations, including but not limited to file read, file write, and code execution.",CWE-611,Improper Restriction of XML External Entity Reference
CVE-2017-1000397,['maven:org.jenkins-ci.main:maven-plugin'],['jenkins maven'],"Jenkins Maven Plugin 2.17 and earlier bundled a version of the commons-httpclient library with the vulnerability CVE-2012-6153 that incorrectly verified SSL certificates, making it susceptible to man-in-the-middle attacks. Maven Plugin 3.0 no longer has a dependency on commons-httpclient.",CWE-20,Improper Input Validation
CVE-2018-1260,['maven:org.springframework.security.oauth:spring-security-oauth2'],['pivotal_software spring_security_oauth'],"Spring Security OAuth, versions 2.3 prior to 2.3.3, 2.2 prior to 2.2.2, 2.1 prior to 2.1.2, 2.0 prior to 2.0.15 and older unsupported versions contains a remote code execution vulnerability. A malicious user or attacker can craft an authorization request to the authorization endpoint that can lead to remote code execution when the resource owner is forwarded to the approval endpoint.",CWE-94,Improper Control of Generation of Code ('Code Injection')
CVE-2019-10335,['maven:org.jenkins-ci.plugins:electricflow'],['jenkins electricflow'],A stored cross site scripting vulnerability in Jenkins ElectricFlow Plugin 1.1.5 and earlier allowed attackers able to configure jobs in Jenkins or control the output of the ElectricFlow API to inject arbitrary HTML and JavaScript in the plugin-provided output on build status pages.,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2018-19361,['maven:com.fasterxml.jackson.core:jackson-databind'],"['fasterxml jackson-databind', 'debian debian_linux', 'oracle primavera_unifier', 'oracle primavera_p6_enterprise_project_portfolio_management', 'oracle webcenter_portal', 'oracle business_process_management_suite', 'oracle retail_workforce_management_software', 'redhat openshift_container_platform', 'redhat jboss_bpm_suite', 'redhat jboss_brms', 'redhat automation_manager', 'redhat decision_manager']",FasterXML jackson-databind 2.x before 2.9.8 might allow attackers to have unspecified impact by leveraging failure to block the openjpa class from polymorphic deserialization.,CWE-502,Deserialization of Untrusted Data
CVE-2016-6794,"['maven:org.apache.tomcat:tomcat-util', 'maven:org.apache.tomcat:tomcat-coyote', 'maven:org.apache.tomcat.embed:tomcat-embed-core', 'maven:org.apache.tomcat:tomcat-catalina', 'maven:org.apache.tomcat:tomcat-util-scan']","['apache tomcat', 'debian debian_linux', 'redhat enterprise_linux_desktop', 'redhat enterprise_linux_workstation', 'redhat enterprise_linux_server', 'redhat jboss_enterprise_web_server', 'redhat enterprise_linux_eus', 'redhat enterprise_linux_server_tus', 'redhat enterprise_linux_server_aus', 'netapp snap_creator_framework', 'netapp oncommand_insight', 'netapp oncommand_shift', 'canonical ubuntu_linux', 'oracle tekelec_platform_distribution']","When a SecurityManager is configured, a web application's ability to read system properties should be controlled by the SecurityManager. In Apache Tomcat 9.0.0.M1 to 9.0.0.M9, 8.5.0 to 8.5.4, 8.0.0.RC1 to 8.0.36, 7.0.0 to 7.0.70, 6.0.0 to 6.0.45 the system property replacement feature for configuration files could be used by a malicious web application to bypass the SecurityManager and read system properties that should not be visible.",,
CVE-2018-1999002,['maven:org.jenkins-ci.main:jenkins-core'],"['jenkins jenkins', 'oracle communications_cloud_native_core_automated_test_suite']","A arbitrary file read vulnerability exists in Jenkins 2.132 and earlier, 2.121.1 and earlier in the Stapler web framework's org/kohsuke/stapler/Stapler.java that allows attackers to send crafted HTTP requests returning the contents of any file on the Jenkins master file system that the Jenkins master has access to.",,
CVE-2020-2242,['maven:org.jenkins-ci.plugins:database'],['jenkins database'],A missing permission check in Jenkins database Plugin 1.6 and earlier allows attackers with Overall/Read access to Jenkins to connect to an attacker-specified database server using attacker-specified credentials.,CWE-862,Missing Authorization
CVE-2019-5312,"['maven:com.github.binarywang:wx-java', 'maven:com.github.binarywang:weixin-java-common']",['wxjava_project wxjava'],An issue was discovered in weixin-java-tools v3.3.0. There is an XXE vulnerability in the getXmlDoc method of the BaseWxPayResult.java file. NOTE: this issue exists because of an incomplete fix for CVE-2018-20318.,CWE-611,Improper Restriction of XML External Entity Reference
CVE-2021-25122,"['maven:org.apache.tomcat:tomcat-coyote', 'maven:org.apache.tomcat.embed:tomcat-embed-core']","['apache tomcat', 'debian debian_linux', 'oracle managed_file_transfer', 'oracle instantis_enterprisetrack', 'oracle agile_plm', 'oracle database', 'oracle siebel_ui_framework', 'oracle mysql_enterprise_monitor', 'oracle graph_server_and_client', 'oracle communications_cloud_native_core_policy', 'oracle communications_instant_messaging_server', 'oracle communications_cloud_native_core_security_edge_protection_proxy']","When responding to new h2c connection requests, Apache Tomcat versions 10.0.0-M1 to 10.0.0, 9.0.0.M1 to 9.0.41 and 8.5.0 to 8.5.61 could duplicate request headers and a limited amount of request body from one request to another meaning user A and user B could both see the results of user A's request.",CWE-200,Exposure of Sensitive Information to an Unauthorized Actor
CVE-2020-2191,"['maven:org.jenkins-ci.plugins:swarm-plugin', 'maven:org.jenkins-ci.plugins:swarm']",['jenkins self-organizing_swarm_modules'],Jenkins Self-Organizing Swarm Plug-in Modules Plugin 3.20 and earlier does not check permissions on API endpoints that allow adding and removing agent labels.,CWE-276,Incorrect Default Permissions
CVE-2013-4330,"['maven:org.apache.camel:apache-camel', 'maven:org.apache.camel:camel-bundle', 'maven:org.apache.camel:camel-core']",['apache camel'],"Apache Camel before 2.9.7, 2.10.0 before 2.10.7, 2.11.0 before 2.11.2, and 2.12.0 allows remote attackers to execute arbitrary simple language expressions by including ""$simple{}"" in a CamelFileName message header to a (1) FILE or (2) FTP producer.",CWE-94,Improper Control of Generation of Code ('Code Injection')
CVE-2019-10102,"['maven:io.ktor:ktor', 'maven:org.jetbrains.kotlin:kotlin-stdlib', 'maven:org.jetbrains.kotlin:kotlin-stdlib-jdk7', 'maven:org.jetbrains.kotlin:kotlin-reflect', 'maven:org.jetbrains.kotlin:kotlin-stdlib-common', 'maven:org.jetbrains.kotlin:kotlin-stdlib-jdk8']","['jetbrains kotlin', 'jetbrains ktor']","JetBrains Ktor framework (created using the Kotlin IDE template) versions before 1.1.0 were resolving artifacts using an http connection during the build process, potentially allowing an MITM attack. This issue was fixed in Kotlin plugin version 1.3.30.",CWE-319,Cleartext Transmission of Sensitive Information
CVE-2018-17190,"['maven:org.apache.spark:spark-core_2.12', 'maven:org.apache.spark:spark-core_2.11', 'maven:org.apache.spark:spark-core_2.10']",['apache spark'],"In all versions of Apache Spark, its standalone resource manager accepts code to execute on a 'master' host, that then runs that code on 'worker' hosts. The master itself does not, by design, execute user code. A specially-crafted request to the master can, however, cause the master to execute code too. Note that this does not affect standalone clusters with authentication enabled. While the master host typically has less outbound access to other resources than a worker, the execution of code on the master is nevertheless unexpected.",,
CVE-2020-12648,"['maven:org.webjars.npm:tinymce', 'maven:org.webjars.bower:tinymce-dist', 'maven:org.webjars.npm:alpaca', 'maven:org.webjars:tinymce-jquery', 'maven:org.webjars.bowergithub.tinymce:tinymce-dist', 'maven:org.webjars:AdminBSBMaterialDesign', 'maven:org.webjars:tinymce', 'maven:org.webjars.bower:tinymce']",['tiny tinymce'],A cross-site scripting (XSS) vulnerability in TinyMCE 5.2.1 and earlier allows remote attackers to inject arbitrary web script when configured in classic editing mode.,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2011-3190,"['maven:org.apache.tomcat:coyote', 'maven:org.apache.tomcat:tomcat-coyote', 'maven:tomcat:tomcat-ajp', 'maven:org.apache.tomcat.embed:tomcat-embed-core', 'maven:tomcat:tomcat-coyote']",['apache tomcat'],"Certain AJP protocol connector implementations in Apache Tomcat 7.0.0 through 7.0.20, 6.0.0 through 6.0.33, 5.5.0 through 5.5.33, and possibly other versions allow remote attackers to spoof AJP requests, bypass authentication, and obtain sensitive information by causing the connector to interpret a request body as a new request.",,
CVE-2018-8015,['maven:org.apache.orc:orc-core'],['apache orc'],"In Apache ORC 1.0.0 to 1.4.3 a malformed ORC file can trigger an endlessly recursive function call in the C++ or Java parser. The impact of this bug is most likely denial-of-service against software that uses the ORC file parser. With the C++ parser, the stack overflow might possibly corrupt the stack.",CWE-674,Uncontrolled Recursion
CVE-2019-10301,['maven:org.jenkins-ci.plugins:gitlab-plugin'],['jenkins gitlab'],"A missing permission check in Jenkins GitLab Plugin 1.5.11 and earlier in the GitLabConnectionConfig#doTestConnection form validation method allowed attackers with Overall/Read permission to connect to an attacker-specified URL using attacker-specified credentials IDs obtained through another method, capturing credentials stored in Jenkins.",CWE-862,Missing Authorization
CVE-2019-13234,['maven:org.opencms:opencms-core'],['alkacon opencms_apollo_template'],"In the Alkacon OpenCms Apollo Template 10.5.4 and 10.5.5, there is XSS in the search engine.",CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2019-1003006,"['maven:org.jenkins-ci.plugins:groovy', 'maven:org.jvnet.hudson.plugins:groovy']",['jenkins groovy'],A sandbox bypass vulnerability exists in Jenkins Groovy Plugin 2.0 and earlier in src/main/java/hudson/plugins/groovy/StringScriptSource.java that allows attackers with Overall/Read permission to provide a Groovy script to an HTTP endpoint that can result in arbitrary code execution on the Jenkins master JVM.,CWE-862,Missing Authorization
CVE-2017-3202,['maven:com.exadel.flamingo.flex:amf-serializer'],['exadel flamingo'],"The Java implementation of AMF3 deserializers used in Flamingo amf-serializer by Exadel, version 2.2.0, may allow instantiation of arbitrary classes via their public parameter-less constructor and subsequently call arbitrary Java Beans setter methods. The ability to exploit this vulnerability depends on the availability of classes in the class path that make use of deserialization. A remote attacker with the ability to spoof or control information may be able to send serialized Java objects with pre-set properties that result in arbitrary code execution when deserialized.",CWE-502,Deserialization of Untrusted Data
CVE-2020-36179,['maven:com.fasterxml.jackson.core:jackson-databind'],"['netapp cloud_backup', 'netapp service_level_manager', 'debian debian_linux', 'oracle webcenter_portal', 'oracle application_testing_suite', 'oracle primavera_unifier', 'oracle agile_plm', 'oracle communications_policy_management', 'oracle communications_billing_and_revenue_management', 'oracle communications_services_gatekeeper', 'oracle retail_merchandising_system', 'oracle communications_evolved_communications_application_server', 'oracle goldengate_application_adapters', 'oracle data_integrator', 'oracle banking_virtual_account_management', 'oracle insurance_rules_palette', 'oracle commerce_platform', 'oracle communications_unified_inventory_management', 'oracle retail_xstore_point_of_service', 'oracle retail_service_backbone', 'oracle jd_edwards_enterpriseone_tools', 'oracle jd_edwards_enterpriseone_orchestrator', 'oracle insurance_policy_administration', 'oracle primavera_gateway', 'oracle communications_cloud_native_core_unified_data_repository', 'oracle communications_network_charging_and_control', 'oracle communications_convergent_charging_controller', 'oracle retail_customer_management_and_segmentation_foundation', 'oracle autovue_for_agile_product_lifecycle_management', 'oracle banking_credit_facilities_process_management', 'oracle banking_corporate_lending_process_management', 'oracle banking_supply_chain_finance', 'oracle banking_treasury_management', 'oracle communications_diameter_signaling_route', 'oracle communications_session_route_manager', 'oracle communications_session_report_manager', 'oracle communications_pricing_design_center', 'oracle communications_cloud_native_core_policy', 'oracle communications_instant_messaging_server', 'oracle communications_offline_mediation_controller', 'oracle communications_element_manager', 'oracle blockchain_platform', 'fasterxml jackson-databind']","FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to oadd.org.apache.commons.dbcp.cpdsadapter.DriverAdapterCPDS.",CWE-502,Deserialization of Untrusted Data
CVE-2019-10414,['maven:de.wellnerbou.jenkins:git-changelog'],['jenkins git_changelog'],"Jenkins Git Changelog Plugin 2.17 and earlier stored credentials unencrypted in job config.xml files on the Jenkins master where they could be viewed by users with Extended Read permission, or access to the master file system.",CWE-522,Insufficiently Protected Credentials
CVE-2019-10460,['maven:org.jenkins-ci.plugins:bitbucket-oauth'],['jenkins bitbucket_oauth'],Jenkins Bitbucket OAuth Plugin 0.9 and earlier stored credentials unencrypted in the global config.xml configuration file on the Jenkins master where they could be viewed by users with access to the master file system.,CWE-522,Insufficiently Protected Credentials
CVE-2017-4992,"['maven:org.cloudfoundry.identity:cloudfoundry-identity-uaa', 'maven:org.cloudfoundry.identity:cloudfoundry-identity-server', 'maven:org.cloudfoundry.identity:cloudfoundry-identity-login']","['pivotal_software cloud_foundry_uaa', 'cloudfoundry cloud_foundry_uaa_bosh', 'cloudfoundry cf-release']","An issue was discovered in Cloud Foundry Foundation cf-release versions prior to v261; UAA release 2.x versions prior to v2.7.4.17, 3.6.x versions prior to v3.6.11, 3.9.x versions prior to v3.9.13, and other versions prior to v4.2.0; and UAA bosh release (uaa-release) 13.x versions prior to v13.15, 24.x versions prior to v24.10, 30.x versions prior to 30.3, and other versions prior to v37. There is privilege escalation (arbitrary password reset) with user invitations.",CWE-269,Improper Privilege Management
CVE-2018-1262,"['maven:org.cloudfoundry.identity:cloudfoundry-identity-uaa', 'maven:org.cloudfoundry.identity:cloudfoundry-identity-client-lib', 'maven:org.cloudfoundry.identity:cloudfoundry-identity-server']","['pivotal_software cloud_foundry_uaa', 'pivotal_software cloud_foundry_uaa-release', 'cloudfoundry cf-deployment']","Cloud Foundry Foundation UAA, versions 4.12.X and 4.13.X, introduced a feature which could allow privilege escalation across identity zones for clients performing offline validation. A zone administrator could configure their zone to issue tokens which impersonate another zone, granting up to admin privileges in the impersonated zone for clients performing offline token validation.",,
CVE-2020-11620,['maven:com.fasterxml.jackson.core:jackson-databind'],"['fasterxml jackson-databind', 'debian debian_linux', 'netapp steelstore_cloud_integrated_storage', 'netapp active_iq_unified_manager', 'oracle retail_xstore_point_of_service', 'oracle primavera_unifier', 'oracle weblogic_server', 'oracle retail_merchandising_system', 'oracle enterprise_manager_base_platform', 'oracle communications_instant_messaging_server', 'oracle retail_sales_audit', 'oracle communications_evolved_communications_application_server', 'oracle communications_network_charging_and_control', 'oracle jd_edwards_enterpriseone_tools', 'oracle jd_edwards_enterpriseone_orchestrator', 'oracle banking_platform', 'oracle communications_contacts_server', 'oracle global_lifecycle_management_opatch']","FasterXML jackson-databind 2.x before 2.9.10.4 mishandles the interaction between serialization gadgets and typing, related to org.apache.commons.jelly.impl.Embedded (aka commons-jelly).",CWE-502,Deserialization of Untrusted Data
CVE-2018-1002204,['maven:org.webjars:adm-zip'],['adm-zip_project adm-zip'],"adm-zip npm library before 0.4.9 is vulnerable to directory traversal, allowing attackers to write to arbitrary files via a ../ (dot dot slash) in a Zip archive entry that is mishandled during extraction. This vulnerability is also known as 'Zip-Slip'.",CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CVE-2019-1003014,['maven:org.jenkins-ci.plugins:config-file-provider'],"['jenkins config_file_provider', 'redhat openshift_container_platform']",An cross-site scripting vulnerability exists in Jenkins Config File Provider Plugin 3.4.1 and earlier in src/main/resources/lib/configfiles/configfiles.jelly that allows attackers with permission to define shared configuration files to execute arbitrary JavaScript when a user attempts to delete the shared configuration file.,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2016-3723,['maven:org.jenkins-ci.main:jenkins-core'],"['jenkins jenkins', 'redhat openshift']",Jenkins before 2.3 and LTS before 1.651.2 allow remote authenticated users with read access to obtain sensitive plugin installation information by leveraging missing permissions checks in unspecified XML/JSON API endpoints.,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor
CVE-2020-2184,['maven:org.jenkins-ci.plugins:cvs'],['jenkins current_versions_systems'],"A cross-site request forgery vulnerability in Jenkins CVS Plugin 2.15 and earlier allows attackers to create and manipulate tags, and to connect to an attacker-specified URL.",CWE-352,Cross-Site Request Forgery (CSRF)
