ID,Values from Dict1
CVE-2018-1260,'maven:org.springframework.security.oauth:spring-security-oauth2'
CVE-2019-10335,'maven:org.jenkins-ci.plugins:electricflow'
CVE-2018-19361,'maven:com.fasterxml.jackson.core:jackson-databind'
CVE-2016-6794,"'maven:org.apache.tomcat:tomcat-util', 'maven:org.apache.tomcat:tomcat-coyote', 'maven:org.apache.tomcat.embed:tomcat-embed-core', 'maven:org.apache.tomcat:tomcat-catalina', 'maven:org.apache.tomcat:tomcat-util-scan'"
CVE-2018-1999002,'maven:org.jenkins-ci.main:jenkins-core'
CVE-2020-2242,'maven:org.jenkins-ci.plugins:database'
CVE-2019-5312,"'maven:com.github.binarywang:wx-java', 'maven:com.github.binarywang:weixin-java-common'"
CVE-2021-25122,"'maven:org.apache.tomcat:tomcat-coyote', 'maven:org.apache.tomcat.embed:tomcat-embed-core'"
CVE-2020-2191,"'maven:org.jenkins-ci.plugins:swarm-plugin', 'maven:org.jenkins-ci.plugins:swarm'"
CVE-2013-4330,"'maven:org.apache.camel:apache-camel', 'maven:org.apache.camel:camel-bundle', 'maven:org.apache.camel:camel-core'"
CVE-2019-10102,"'maven:io.ktor:ktor', 'maven:org.jetbrains.kotlin:kotlin-stdlib', 'maven:org.jetbrains.kotlin:kotlin-stdlib-jdk7', 'maven:org.jetbrains.kotlin:kotlin-reflect', 'maven:org.jetbrains.kotlin:kotlin-stdlib-common', 'maven:org.jetbrains.kotlin:kotlin-stdlib-jdk8'"
CVE-2018-17190,"'maven:org.apache.spark:spark-core_2.12', 'maven:org.apache.spark:spark-core_2.11', 'maven:org.apache.spark:spark-core_2.10'"
CVE-2020-12648,"'maven:org.webjars.npm:tinymce', 'maven:org.webjars.bower:tinymce-dist', 'maven:org.webjars.npm:alpaca', 'maven:org.webjars:tinymce-jquery', 'maven:org.webjars.bowergithub.tinymce:tinymce-dist', 'maven:org.webjars:AdminBSBMaterialDesign', 'maven:org.webjars:tinymce', 'maven:org.webjars.bower:tinymce'"
CVE-2011-3190,"'maven:org.apache.tomcat:coyote', 'maven:org.apache.tomcat:tomcat-coyote', 'maven:tomcat:tomcat-ajp', 'maven:org.apache.tomcat.embed:tomcat-embed-core', 'maven:tomcat:tomcat-coyote'"
CVE-2018-8015,'maven:org.apache.orc:orc-core'
CVE-2019-10301,'maven:org.jenkins-ci.plugins:gitlab-plugin'
CVE-2019-13234,'maven:org.opencms:opencms-core'
CVE-2019-1003006,"'maven:org.jenkins-ci.plugins:groovy', 'maven:org.jvnet.hudson.plugins:groovy'"
CVE-2017-3202,'maven:com.exadel.flamingo.flex:amf-serializer'
CVE-2020-36179,'maven:com.fasterxml.jackson.core:jackson-databind'
CVE-2019-10414,'maven:de.wellnerbou.jenkins:git-changelog'
CVE-2019-10460,'maven:org.jenkins-ci.plugins:bitbucket-oauth'
CVE-2017-4992,"'maven:org.cloudfoundry.identity:cloudfoundry-identity-uaa', 'maven:org.cloudfoundry.identity:cloudfoundry-identity-server', 'maven:org.cloudfoundry.identity:cloudfoundry-identity-login'"
CVE-2018-1262,"'maven:org.cloudfoundry.identity:cloudfoundry-identity-uaa', 'maven:org.cloudfoundry.identity:cloudfoundry-identity-client-lib', 'maven:org.cloudfoundry.identity:cloudfoundry-identity-server'"
CVE-2020-11620,'maven:com.fasterxml.jackson.core:jackson-databind'
CVE-2018-1002204,'maven:org.webjars:adm-zip'
CVE-2019-1003014,'maven:org.jenkins-ci.plugins:config-file-provider'
CVE-2016-3723,'maven:org.jenkins-ci.main:jenkins-core'
CVE-2020-2184,'maven:org.jenkins-ci.plugins:cvs'
CVE-2017-15703,"'maven:org.apache.nifi:nifi-framework-core', 'maven:org.apache.nifi:nifi-update-attribute-model', 'maven:org.apache.nifi:nifi-file-authorizer', 'maven:org.apache.nifi:nifi-web-security', 'maven:org.apache.nifi:nifi-authorizer', 'maven:org.apache.nifi:nifi-web-api', 'maven:org.apache.nifi:nifi-framework-cluster', 'maven:org.apache.nifi:nifi-framework-cluster-protocol', 'maven:org.apache.nifi:nifi-security-utils'"
CVE-2017-1000391,'maven:org.jenkins-ci.main:jenkins-core'
CVE-2016-6801,'maven:org.apache.jackrabbit:jackrabbit-webdav'
CVE-2018-5653,'maven:org.apache.cayenne.modeler:cayenne-modeler'
CVE-2021-44228,"'maven:org.ops4j.pax.logging:pax-logging-log4j2', 'maven:org.apache.logging.log4j:log4j-core'"
CVE-2018-1000057,'maven:org.jvnet.hudson.plugins:secret'
CVE-2021-32827,"'maven:org.mock-server:mockserver', 'maven:org.mock-server:mockserver-core'"
CVE-2020-2130,"'maven:org.jvnet.hudson.plugins:harvest', 'maven:org.jenkins-ci.plugins:harvest'"
CVE-2019-1010250,'maven:org.onosproject:onos-rest'
CVE-2018-1000191,'maven:com.blackducksoftware.integration:blackduck-detect'
CVE-2017-1000404,'maven:se.diabol.jenkins.pipeline:delivery-pipeline-plugin'
CVE-2020-10969,'maven:com.fasterxml.jackson.core:jackson-databind'
CVE-2010-2086,'maven:org.apache.myfaces.core:myfaces-core-project'
CVE-2018-1000195,'maven:org.jenkins-ci.main:jenkins-core'
CVE-2014-2066,'maven:org.jenkins-ci.main:jenkins-core'
CVE-2015-8860,"'maven:org.webjars:npm', 'maven:org.webjars.bower:jsonpath-object-transform', 'maven:org.webjars:tar'"
CVE-2019-10475,'maven:org.jenkins-ci.plugins:build-metrics'
CVE-2022-26520,'maven:org.postgresql:postgresql'
CVE-2014-6071,"'maven:org.webjars:jquery', 'maven:org.webjars.bower:jquery'"
CVE-2014-3665,'maven:org.jenkins-ci.main:jenkins-core'
CVE-2019-17352,'maven:com.jfinal:jfinal'
CVE-2021-38153,"'maven:org.apache.kafka:kafka_2.11', 'maven:org.apache.kafka:kafka-clients', 'maven:org.apache.servicemix.bundles:org.apache.servicemix.bundles.kafka-clients'"
CVE-2020-2289,'maven:org.biouno:uno-choice'
CVE-2013-2193,'maven:org.apache.hbase:hbase'
CVE-2020-11113,'maven:com.fasterxml.jackson.core:jackson-databind'
CVE-2020-29582,'maven:org.jetbrains.kotlin:kotlin-maven-plugin'
CVE-2018-1999046,'maven:org.jenkins-ci.main:jenkins-core'
CVE-2020-36183,'maven:com.fasterxml.jackson.core:jackson-databind'
CVE-2015-3158,'maven:org.picketlink:picketlink-tomcat-common'
CVE-2017-9797,'maven:org.apache.geode:geode-core'
CVE-2017-12610,"'maven:org.apache.kafka:kafka_2.12', 'maven:org.apache.kafka:kafka_2.11', 'maven:org.apache.kafka:kafka_2.10', 'maven:org.apache.servicemix.bundles:org.apache.servicemix.bundles.kafka-clients', 'maven:org.apache.kafka:kafka-clients'"
CVE-2016-1000345,"'maven:org.bouncycastle:bctsp-jdk14', 'maven:org.apache.servicemix.bundles:org.apache.servicemix.bundles.bcprov-jdk15on', 'maven:org.bouncycastle:bcprov-debug-jdk15on', 'maven:bouncycastle:bcprov-jdk14', 'maven:org.bouncycastle:bcprov-debug-jdk14', 'maven:org.bouncycastle:bcprov-ext-debug-jdk15on', 'maven:org.bouncycastle:bcprov-jdk16', 'maven:bouncycastle:bcprov-jdk15', 'maven:org.bouncycastle:bcprov-jdk14', 'maven:org.bouncycastle:bcprov-jdk15on', 'maven:org.bouncycastle:bcprov-ext-jdk15on', 'maven:org.bouncycastle:bcprov-jdk15'"
CVE-2012-5817,'maven:org.codehaus.xfire:xfire-core'
CVE-2017-9795,"'maven:org.apache.geode:gemfire-core', 'maven:org.apache.geode:geode-core'"
CVE-2019-19703,'maven:io.ktor:ktor-client-core'
CVE-2019-1003099,'maven:org.jenkins-ci.plugins:openid'
CVE-2020-2245,'maven:org.jenkins-ci.plugins:valgrind'
CVE-2015-3188,'maven:org.apache.storm:storm-core'
CVE-2020-9484,"'maven:org.apache.tomcat.embed:tomcat-embed-core', 'maven:org.apache.tomcat:tomcat-catalina'"
CVE-2020-2262,'maven:org.jvnet.hudson.plugins:android-lint'
CVE-2018-8006,'maven:org.apache.activemq:activemq-web-console'
CVE-2019-10463,'maven:org.jenkins-ci.plugins:dynatrace-dashboard'
CVE-2019-1003072,'maven:org.jenkins-ci.plugins:wildfly-deployer'
CVE-2017-15288,'maven:org.scala-lang:scala-compiler'
CVE-2019-10343,'maven:io.jenkins:configuration-as-code'
CVE-2020-8244,'maven:org.webjars.npm:bl'
CVE-2019-1003032,'maven:org.jenkins-ci.plugins:email-ext'
CVE-2022-25517,'maven:com.baomidou:mybatis-plus-core'
CVE-2014-9515,'maven:net.sf.dozer:dozer'
CVE-2017-1000393,"'maven:org.jenkins-ci.main:jenkins-core', 'maven:org.jvnet.hudson.main:hudson-core'"
CVE-2021-39140,'maven:com.thoughtworks.xstream:xstream'
CVE-2016-4437,"'maven:org.apache.shiro:shiro-all', 'maven:org.apache.shiro:shiro-core'"
CVE-2017-5638,'maven:org.apache.struts:struts2-core'
CVE-2020-11974,'maven:org.apache.dolphinscheduler:dolphinscheduler-dao'
CVE-2014-2064,'maven:org.jenkins-ci.main:jenkins-core'
CVE-2014-4611,'maven:net.jpountz.lz4:lz4'
CVE-2022-25206,'maven:org.jenkins-ci.plugins:dbCharts'
CVE-2017-14735,'maven:org.owasp.antisamy:antisamy'
CVE-2020-2091,"'maven:org.jenkins-ci.plugins:ec2', 'maven:org.jvnet.hudson.plugins:ec2'"
CVE-2013-1814,'maven:org.apache.rave:rave-web'
CVE-2010-5327,"'maven:com.liferay.portal:com.liferay.portal.impl', 'maven:com.liferay.portal:portal-impl'"
CVE-2014-0095,"'maven:org.apache.tomcat.embed:tomcat-embed-core', 'maven:org.apache.tomcat:tomcat-coyote'"
CVE-2014-0193,"'maven:io.netty:netty-all', 'maven:io.netty:netty', 'maven:io.netty:netty-codec-http'"
CVE-2019-10311,'maven:org.jenkins-ci.plugins:ansible-tower'
CVE-2014-7827,'maven:org.picketlink:picketlink-federation'
CVE-2019-1003092,'maven:org.jenkins-ci.plugins:nomad'
CVE-2019-10380,'maven:org.jenkins-ci.plugins:simple-travis-runner'
CVE-2018-1999033,'maven:org.jenkins-ci.plugins:anchore-container-scanner'
CVE-2018-19530,'maven:com.github.httl:httl'
CVE-2020-13925,"'maven:org.apache.kylin:kylin-core-common', 'maven:org.apache.kylin:kylin-server-base'"
CVE-2020-11009,'maven:org.rundeck:rundeck'
CVE-2019-10379,'maven:org.jenkins-ci.plugins:gcm-notification'
CVE-2021-21290,"'maven:io.netty:netty-all', 'maven:io.netty:netty-handler', 'maven:io.netty:netty-codec-http'"
CVE-2015-5324,'maven:org.jenkins-ci.main:jenkins-core'
CVE-2019-10747,'maven:org.webjars.npm:set-value'
CVE-2017-7672,'maven:org.apache.struts:struts2-core'
CVE-2009-0038,"'maven:org.apache.geronimo.framework:geronimo-kernel', 'maven:org.apache.geronimo.framework:geronimo-security'"
CVE-2020-7020,'maven:org.elasticsearch:elasticsearch'
CVE-2020-2183,'maven:org.jenkins-ci.plugins:copyartifact'
CVE-2020-12719,'maven:org.wso2.carbon.analytics-common:org.wso2.carbon.event.publisher.core'
CVE-2018-1229,'maven:org.springframework.batch:spring-batch-admin-manager'
CVE-2020-2250,'maven:org.jenkins-ci.plugins:soapui-pro-functional-testing'
CVE-2017-12617,"'maven:org.apache.tomcat:tomcat-util', 'maven:org.apache.tomcat:catalina', 'maven:org.apache.tomcat:tomcat-catalina', 'maven:org.apache.tomcat.embed:tomcat-embed-core'"
CVE-2018-1999004,'maven:org.jenkins-ci.main:jenkins-core'
CVE-2020-8920,'maven:com.google.gerrit:gerrit-plugin-api'
CVE-2020-1953,'maven:org.apache.commons:commons-configuration2'
CVE-2016-4216,'maven:com.adobe.xmp:xmpcore'
CVE-2013-1965,"'maven:org.apache.struts.xwork:xwork-core', 'maven:org.apache.struts:struts2-showcase', 'maven:org.apache.struts:struts2-core'"
CVE-2019-10291,'maven:org.jenkins-ci.plugins:netsparker-cloud-scan'
CVE-2012-3451,"'maven:org.apache.cxf:cxf-rt-bindings-soap', 'maven:org.apache.cxf:cxf-rt-core'"
CVE-2011-2730,'maven:org.springframework:spring-web'
CVE-2018-18389,"'maven:org.neo4j:neo4j-enterprise', 'maven:org.neo4j:neo4j-security-enterprise'"
CVE-2020-2321,'maven:org.jenkins-ci.plugins:shelve-project-plugin'
CVE-2017-12974,'maven:com.nimbusds:nimbus-jose-jwt'
CVE-2014-0075,"'maven:org.apache.tomcat:tomcat-coyote', 'maven:org.apache.tomcat:coyote', 'maven:org.apache.tomcat.embed:tomcat-embed-core'"
CVE-2019-10471,'maven:org.jenkins-ci.plugins:libvirt-slave'
CVE-2018-15531,'maven:net.bull.javamelody:javamelody-core'
CVE-2017-5643,'maven:org.apache.camel:camel-core'
CVE-2020-6950,'maven:org.glassfish:jakarta.faces'
CVE-2018-7747,'maven:org.webjars.npm:parsleyjs'
CVE-2019-20149,'maven:org.webjars.npm:kind-of'
CVE-2012-5881,'maven:org.webjars:yui'
CVE-2017-9096,"'maven:com.itextpdf:itext-pdfa', 'maven:com.itextpdf:itextg', 'maven:com.lowagie:itext', 'maven:com.itextpdf:itextpdf'"
CVE-2021-36152,'maven:org.apache.gobblin:gobblin-utility'
CVE-2013-6468,'maven:org.drools:drools-workbench-models-test-scenarios'
CVE-2022-23640,'maven:com.monitorjbl:xlsx-streamer'
CVE-2020-15250,"'maven:org.apache.servicemix.bundles:org.apache.servicemix.bundles.junit', 'maven:junit:junit'"
CVE-2013-4322,"'maven:tomcat:tomcat-coyote', 'maven:org.apache.tomcat:tomcat-coyote', 'maven:org.apache.tomcat.embed:tomcat-embed-core', 'maven:org.apache.tomcat:coyote'"
CVE-2016-0706,"'maven:org.apache.tomcat.embed:tomcat-embed-core', 'maven:org.apache.tomcat:tomcat-catalina', 'maven:org.apache.tomcat:catalina'"
CVE-2020-7598,"'maven:org.webjars:npm', 'maven:org.webjars.npm:bourbon-neat', 'maven:org.webjars.bower:npm', 'maven:org.webjars.npm:minimist'"
CVE-2013-4286,"'maven:org.apache.tomcat:tomcat-coyote', 'maven:org.apache.tomcat.embed:tomcat-embed-core', 'maven:org.apache.tomcat:coyote'"
CVE-2016-1000338,"'maven:org.bouncycastle:bcprov-jdk15', 'maven:org.bouncycastle:bcprov-ext-debug-jdk15on', 'maven:org.apache.servicemix.bundles:org.apache.servicemix.bundles.bcprov-jdk15on', 'maven:org.bouncycastle:bcprov-debug-jdk15on', 'maven:org.bouncycastle:bcprov-ext-jdk14', 'maven:org.bouncycastle:bcprov-debug-jdk14', 'maven:org.bouncycastle:bcprov-jdk14', 'maven:org.bouncycastle:bcprov-jdk15on', 'maven:org.bouncycastle:bcprov-ext-jdk15on'"
CVE-2020-2120,'maven:org.jenkins-ci.plugins:fitnesse'
CVE-2019-6002,'maven:com.linecorp.centraldogma:centraldogma-server'
CVE-2014-0097,"'maven:org.springframework.security:spring-security-core', 'maven:org.springframework.security:spring-security-ldap'"
CVE-2012-1724,"'maven:xerces:xerces', 'maven:xerces:xercesImpl'"
CVE-2013-4310,"'maven:org.apache.struts:struts2-rest-plugin', 'maven:org.apache.struts:struts2-core'"
CVE-2020-7792,"'maven:org.webjars:mout', 'maven:org.webjars.npm:mout'"
CVE-2020-26945,"'maven:org.apache.servicemix.bundles:org.apache.servicemix.bundles.mybatis', 'maven:org.mybatis:mybatis'"
CVE-2016-0762,"'maven:tomcat:catalina', 'maven:org.apache.tomcat:tomcat-catalina', 'maven:org.apache.tomcat:catalina', 'maven:org.apache.tomcat.embed:tomcat-embed-core'"
CVE-2018-1256,'maven:io.pivotal.spring.cloud:spring-cloud-sso-connector'
CVE-2018-1284,"'maven:org.apache.hive:hive-service', 'maven:org.apache.hive:hive', 'maven:org.apache.hive:hive-exec'"
CVE-2020-13953,'maven:org.apache.tapestry:tapestry-core'
CVE-2018-16131,"'maven:com.typesafe.akka:akka-http-core_2.12', 'maven:com.typesafe.akka:akka-http-core_2.11', 'maven:com.typesafe.akka:akka-http_2.11'"
CVE-2019-16540,'maven:org.jenkins-ci.plugins:support-core'
CVE-2019-9142,'maven:org.b3log:symphony'
CVE-2018-3824,'maven:org.elasticsearch:elasticsearch'
CVE-2019-9155,'maven:org.webjars.npm:openpgp'
CVE-2020-2124,'maven:com.moded.extendedchoiceparameter:dynamic_extended_choice_parameter'
CVE-2020-4051,"'maven:org.webjars.bower:dijit', 'maven:org.webjars:dojo-src'"
CVE-2018-12036,'maven:org.owasp:dependency-check-core'
CVE-2019-10367,'maven:io.jenkins:configuration-as-code'
CVE-2020-2090,"'maven:org.jenkins-ci.plugins:ec2', 'maven:org.jvnet.hudson.plugins:ec2'"
CVE-2017-1000208,"'maven:io.swagger:swagger-codegen', 'maven:io.swagger:swagger-parser'"
CVE-2017-16116,'maven:org.webjars.npm:string'
CVE-2017-2606,'maven:org.jenkins-ci.main:jenkins-core'
CVE-2017-8046,'maven:org.springframework.data:spring-data-rest-webmvc'
CVE-2022-27199,'maven:org.jenkins-ci.plugins:aws-credentials'
CVE-2019-10170,"'maven:org.keycloak:keycloak-services', 'maven:org.keycloak:keycloak-core'"
CVE-2018-8041,'maven:org.apache.camel:camel-mail'
CVE-2017-5653,'maven:org.apache.cxf:cxf-rt-rs-security-xml'
CVE-2010-3700,"'maven:org.springframework.security:spring-security-web', 'maven:org.springframework.security:spring-security-core'"
CVE-2013-5823,'maven:org.apache.santuario:xmlsec'
CVE-2017-12615,"'maven:org.apache.tomcat:tomcat-catalina', 'maven:org.apache.tomcat.embed:tomcat-embed-core'"
CVE-2020-2252,'maven:org.jenkins-ci.plugins:mailer'
CVE-2018-1067,'maven:io.undertow:undertow-core'
CVE-2014-8114,"'maven:org.uberfire:uberfire-security-server', 'maven:org.uberfire:uberfire-server'"
CVE-2018-12418,'maven:com.github.junrar:junrar'
CVE-2016-0791,'maven:org.jenkins-ci.main:jenkins-core'
CVE-2015-7520,'maven:org.apache.wicket:wicket-core'
CVE-2012-5370,'maven:org.jruby:jruby'
CVE-2015-0225,'maven:org.apache.cassandra:cassandra-all'
CVE-2018-1295,'maven:org.apache.ignite:ignite-core'
CVE-2022-27205,'maven:org.jenkins-ci.plugins:extended-choice-parameter'
CVE-2020-12642,'maven:com.epam.reportportal:service-api'
CVE-2019-14832,"'maven:org.keycloak:keycloak-core', 'maven:org.keycloak:keycloak-model-infinispan'"
CVE-2019-10087,'maven:org.apache.jspwiki:jspwiki-war'
CVE-2020-2205,'maven:org.jenkins-ci.plugins:vncrecorder'
CVE-2020-5222,'maven:org.opencastproject:opencast-kernel'
CVE-2020-2875,'maven:mysql:mysql-connector-java'
CVE-2020-2258,'maven:org.jenkins-ci.plugins:cloudbees-jenkins-advisor'
CVE-2018-1132,'maven:org.opendaylight.sdninterfaceapp:sdninterfaceapp-impl'
CVE-2018-1999045,'maven:org.jenkins-ci.main:jenkins-core'
CVE-2019-10425,'maven:org.jvnet.hudson.plugins:gcal'
CVE-2019-1003036,'maven:org.jenkins-ci.plugins:azure-vm-agents'
CVE-2016-8739,'maven:org.apache.cxf:cxf-rt-rs-extension-providers'
CVE-2020-2141,'maven:org.jenkins-ci.plugins:p4'
CVE-2020-2287,'maven:org.jenkins-ci.plugins:audit-trail'
CVE-2016-4438,'maven:org.apache.struts:struts2-rest-plugin'
CVE-2020-14444,'maven:org.wso2.carbon.identity.framework:org.wso2.carbon.policyeditor.ui'
CVE-2018-3737,"'maven:org.webjars:npm', 'maven:org.webjars.npm:sshpk', 'maven:org.webjars:browser-sync', 'maven:org.webjars.bower:npm'"
CVE-2012-2098,"'maven:org.apache.ant:ant', 'maven:org.apache.servicemix.bundles:org.apache.servicemix.bundles.ant', 'maven:ant:ant', 'maven:org.apache.commons:commons-compress'"
CVE-2019-10169,'maven:org.keycloak:keycloak-authz-client'
CVE-2017-12626,"'maven:org.apache.servicemix.bundles:org.apache.servicemix.bundles.poi', 'maven:org.apache.poi:poi-scratchpad', 'maven:org.apache.poi:poi'"
CVE-2019-0230,'maven:org.apache.struts:struts2-core'
CVE-2018-8027,'maven:org.apache.camel:camel-core'
CVE-2020-8929,'maven:com.google.crypto.tink:tink'
CVE-2018-14041,"'maven:org.webjars.bowergithub.twbs:bootstrap', 'maven:org.webjars.npm:bootstrap', 'maven:org.webjars.bowergithub.thomaspark:bootswatch', 'maven:org.webjars:bootstrap', 'maven:org.webjars.bower:bootstrap'"
CVE-2013-2115,'maven:org.apache.struts:struts2-core'
CVE-2020-24301,'maven:ca.uhn.hapi.fhir:hapi-fhir'
CVE-2016-5018,"'maven:tomcat:jasper', 'maven:tomcat:jasper-runtime', 'maven:org.apache.tomcat.embed:tomcat-embed-jasper', 'maven:org.apache.tomcat:jasper', 'maven:org.apache.tomcat:tomcat-jasper'"
CVE-2012-3373,"'maven:org.apache.wicket:wicket-core', 'maven:org.apache.wicket:wicket'"
CVE-2013-2248,'maven:org.apache.struts:struts2-core'
CVE-2017-15694,'maven:org.apache.geode:geode-core'
CVE-2019-12041,"'maven:org.webjars:remarkable', 'maven:org.webjars.bowergithub.jonschlinkert:remarkable', 'maven:org.webjars.bower:remarkable'"
CVE-2017-3523,'maven:mysql:mysql-connector-java'
CVE-2021-30639,"'maven:org.apache.tomcat:tomcat', 'maven:org.apache.tomcat:tomcat-coyote'"
CVE-2016-5002,'maven:org.apache.xmlrpc:xmlrpc'
CVE-2014-0003,'maven:org.apache.camel:camel-core'
CVE-2018-3831,'maven:org.elasticsearch:elasticsearch'
CVE-2017-8039,"'maven:org.springframework.webflow:org.springframework.webflow', 'maven:org.springframework.webflow:spring-webflow'"
CVE-2019-1003077,'maven:org.jenkins-ci.plugins:audit2db'
CVE-2019-10317,'maven:org.jvnet.hudson.plugins:sitemonitor'
CVE-2013-6408,'maven:org.apache.solr:solr-core'
CVE-2019-10438,'maven:org.jenkins-ci.plugins:crx-content-package-deployer'
CVE-2022-27197,"'maven:org.jenkins-ci.plugins:dashboard-view', 'maven:org.hudsonci.plugins:dashboard-view'"
CVE-2012-4460,'maven:org.apache.qpid:qpid-common'
CVE-2017-4973,"'maven:org.cloudfoundry.identity:cloudfoundry-identity-uaa', 'maven:org.cloudfoundry.identity:cloudfoundry-identity-scim', 'maven:org.cloudfoundry.identity:cloudfoundry-identity-model', 'maven:org.cloudfoundry.identity:cloudfoundry-identity-server'"
CVE-2018-1321,"'maven:org.apache.syncope:syncope-core', 'maven:org.apache.syncope.core:syncope-core-logic'"
CVE-2010-0684,'maven:org.apache.activemq:activemq-web'
CVE-2020-2168,'maven:org.jenkins-ci.plugins:azure-acs'
CVE-2022-25183,'maven:org.jenkins-ci.plugins.workflow:workflow-cps-global-lib'
CVE-2018-17196,"'maven:org.apache.servicemix.bundles:org.apache.servicemix.bundles.kafka-clients', 'maven:org.apache.kafka:kafka-clients'"
CVE-2019-12422,"'maven:org.apache.shiro:shiro-core', 'maven:org.apache.shiro:shiro-crypto-cipher'"
CVE-2020-2193,'maven:io.jenkins.plugins:echarts-api'
CVE-2021-46708,'maven:org.webjars.npm:swagger-ui-dist'
CVE-2019-10328,'maven:org.jenkins-ci.plugins:workflow-remote-loader'
CVE-2019-10409,'maven:hudson.plugins:project-inheritance'
CVE-2016-4800,"'maven:org.eclipse.jetty:jetty-runner', 'maven:org.eclipse.jetty:jetty-util', 'maven:org.eclipse.jetty:jetty-server'"
CVE-2016-3087,'maven:org.apache.struts:struts2-core'
CVE-2015-5347,'maven:org.apache.wicket:wicket-extensions'
CVE-2019-1003065,'maven:org.jenkins-ci.plugins:cloudshare-docker'
CVE-2018-1272,"'maven:org.springframework:spring-webmvc', 'maven:org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-core', 'maven:org.springframework:spring-web', 'maven:org.apache.servicemix.bundles:org.apache.servicemix.bundles.spring-web', 'maven:org.springframework:spring-core'"
CVE-2019-10083,"'maven:org.apache.nifi:nifi', 'maven:org.apache.nifi:nifi-web-api'"
CVE-2019-10323,'maven:org.jenkins-ci.plugins:artifactory'
