redhat jgroups	Product redhat jgroups
CVE-2018-11651	Graylog v2.4.4 XSS security issue unescaped text dashboard names , related components/dashboard/Dashboard.jsx , components/dashboard/EditDashboardModal.jsx , pages/ShowDashboardPage.jsx .
CVE-2016-8738	Apache Struts 2.5 2.5.5 , application allows entering URL form field built-in URLValidator used , possible prepare special URL used overload server process performing validation URL .
CWE-89	Improper Neutralization Special Elements used SQL Command ( 'SQL Injection ' )
apache kylin	Product apache kylin
CVE-2020-1937	Kylin restful apis concatenate SQLs user input string , user likely able run malicious database queries .
jenkins selenium	Product jenkins selenium
CVE-2020-2196	Jenkins Selenium Plugin 3.141.59 earlier CSRF protection HTTP endpoints , allowing attackers perform administrative actions provided plugin .
CWE-444	Inconsistent Interpretation HTTP Requests ( 'HTTP Request/Response Smuggling ' )
netty netty	Product netty netty
quarkus quarkus	Product quarkus quarkus
netapp snapcenter	Product netapp snapcenter
netapp oncommand_workflow_automation	Product netapp oncommand_workflow_automation
oracle banking_platform	Product oracle banking_platform
oracle peoplesoft_enterprise_peopletools	Product oracle peoplesoft_enterprise_peopletools
oracle coherence	Product oracle coherence
oracle communications_cloud_native_core_security_edge_protection_proxy	Product oracle communications_cloud_native_core_security_edge_protection_proxy
oracle banking_party_management	Product oracle banking_party_management
oracle communications_design_studio	Product oracle communications_design_studio
oracle communications_cloud_native_core_policy	Product oracle communications_cloud_native_core_policy
oracle communications_cloud_native_core_unified_data_repository	Product oracle communications_cloud_native_core_unified_data_repository
oracle communications_cloud_native_core_network_slice_selection_function	Product oracle communications_cloud_native_core_network_slice_selection_function
oracle communications_cloud_native_core_binding_support_function	Product oracle communications_cloud_native_core_binding_support_function
oracle helidon	Product oracle helidon
oracle communications_instant_messaging_server	Product oracle communications_instant_messaging_server
oracle banking_deposits_and_lines_of_credit_servicing	Product oracle banking_deposits_and_lines_of_credit_servicing
CVE-2021-43797	Netty asynchronous event-driven network application framework rapid development maintainable high performance protocol servers & clients . Netty prior version 4.1.71.Final skips control chars present beginning / end header name . instead fail fast allowed spec could lead HTTP request smuggling . Failing validation might cause netty `` sanitize '' header names forward another remote system used proxy . remote system ca n't see invalid usage anymore , therefore validation . Users upgrade version 4.1.71.Final .
sprymedia datatables	Product sprymedia datatables
CVE-2015-6584	Cross-site scripting ( XSS ) vulnerability DataTables plugin 1.10.8 earlier jQuery allows remote attackers inject arbitrary web script HTML via scripts parameter media/unit_testing/templates/6776.php .
CWE-347	Improper Verification Cryptographic Signature
apache netbeans	Product apache netbeans
oracle graalvm	Product oracle graalvm
CVE-2019-17561	`` Apache NetBeans '' autoupdate system fully validate code signatures . attacker could modify downloaded nbm include additional code . `` Apache NetBeans '' versions including 11.2 affected vulnerability .
CWE-787	Out-of-bounds Write
itextpdf itext	Product itextpdf itext
CVE-2022-24197	iText v7.1.17 discovered contain stack-based buffer overflow via component ByteBuffer.append , allows attackers cause Denial Service ( DoS ) via crafted PDF file .
CWE-611	Improper Restriction XML External Entity Reference
apache syncope	Product apache syncope
CVE-2018-17186	administrator workflow definition entitlements use DTD perform malicious operations , including limited file read , file write , code execution .
jenkins maven	Product jenkins maven
CVE-2017-1000397	Jenkins Maven Plugin 2.17 earlier bundled version commons-httpclient library vulnerability CVE-2012-6153 incorrectly verified SSL certificates , making susceptible man-in-the-middle attacks . Maven Plugin 3.0 longer dependency commons-httpclient .
pivotal_software spring_security_oauth	Product pivotal_software spring_security_oauth
CVE-2018-1260	Spring Security OAuth , versions 2.3 prior 2.3.3 , 2.2 prior 2.2.2 , 2.1 prior 2.1.2 , 2.0 prior 2.0.15 older unsupported versions contains remote code execution vulnerability . malicious user attacker craft authorization request authorization endpoint lead remote code execution resource owner forwarded approval endpoint .
jenkins electricflow	Product jenkins electricflow
CVE-2019-10335	stored cross site scripting vulnerability Jenkins ElectricFlow Plugin 1.1.5 earlier allowed attackers able configure jobs Jenkins control output ElectricFlow API inject arbitrary HTML JavaScript plugin-provided output build status pages .
CWE-502	Deserialization Untrusted Data
fasterxml jackson-databind	Product fasterxml jackson-databind
oracle primavera_unifier	Product oracle primavera_unifier
oracle primavera_p6_enterprise_project_portfolio_management	Product oracle primavera_p6_enterprise_project_portfolio_management
oracle webcenter_portal	Product oracle webcenter_portal
oracle business_process_management_suite	Product oracle business_process_management_suite
oracle retail_workforce_management_software	Product oracle retail_workforce_management_software
redhat openshift_container_platform	Product redhat openshift_container_platform
redhat jboss_bpm_suite	Product redhat jboss_bpm_suite
redhat jboss_brms	Product redhat jboss_brms
redhat automation_manager	Product redhat automation_manager
redhat decision_manager	Product redhat decision_manager
CVE-2018-19361	FasterXML jackson-databind 2.x 2.9.8 might allow attackers unspecified impact leveraging failure block openjpa class polymorphic deserialization .
apache tomcat	Product apache tomcat
redhat enterprise_linux_desktop	Product redhat enterprise_linux_desktop
redhat enterprise_linux_workstation	Product redhat enterprise_linux_workstation
redhat enterprise_linux_server	Product redhat enterprise_linux_server
redhat enterprise_linux_eus	Product redhat enterprise_linux_eus
redhat enterprise_linux_server_tus	Product redhat enterprise_linux_server_tus
redhat enterprise_linux_server_aus	Product redhat enterprise_linux_server_aus
netapp snap_creator_framework	Product netapp snap_creator_framework
netapp oncommand_insight	Product netapp oncommand_insight
netapp oncommand_shift	Product netapp oncommand_shift
oracle tekelec_platform_distribution	Product oracle tekelec_platform_distribution
CVE-2016-6794	SecurityManager configured , web application 's ability read system properties controlled SecurityManager . Apache Tomcat 9.0.0.M1 9.0.0.M9 , 8.5.0 8.5.4 , 8.0.0.RC1 8.0.36 , 7.0.0 7.0.70 , 6.0.0 6.0.45 system property replacement feature configuration files could used malicious web application bypass SecurityManager read system properties visible .
oracle communications_cloud_native_core_automated_test_suite	Product oracle communications_cloud_native_core_automated_test_suite
CVE-2018-1999002	arbitrary file read vulnerability exists Jenkins 2.132 earlier , 2.121.1 earlier Stapler web framework 's org/kohsuke/stapler/Stapler.java allows attackers send crafted HTTP requests returning contents file Jenkins master file system Jenkins master access .
CWE-862	Missing Authorization
jenkins database	Product jenkins database
CVE-2020-2242	missing permission check Jenkins database Plugin 1.6 earlier allows attackers Overall/Read access Jenkins connect attacker-specified database server using attacker-specified credentials .
wxjava_project wxjava	Product wxjava_project wxjava
CVE-2019-5312	issue discovered weixin-java-tools v3.3.0 . XXE vulnerability getXmlDoc method BaseWxPayResult.java file . NOTE : issue exists incomplete fix CVE-2018-20318 .
oracle managed_file_transfer	Product oracle managed_file_transfer
oracle instantis_enterprisetrack	Product oracle instantis_enterprisetrack
oracle agile_plm	Product oracle agile_plm
oracle database	Product oracle database
oracle siebel_ui_framework	Product oracle siebel_ui_framework
oracle mysql_enterprise_monitor	Product oracle mysql_enterprise_monitor
oracle graph_server_and_client	Product oracle graph_server_and_client
CVE-2021-25122	responding new h2c connection requests , Apache Tomcat versions 10.0.0-M1 10.0.0 , 9.0.0.M1 9.0.41 8.5.0 8.5.61 could duplicate request headers limited amount request body one request another meaning user user B could see results user 's request .
CWE-276	Incorrect Default Permissions
jenkins self-organizing_swarm_modules	Product jenkins self-organizing_swarm_modules
CVE-2020-2191	Jenkins Self-Organizing Swarm Plug-in Modules Plugin 3.20 earlier check permissions API endpoints allow adding removing agent labels .
apache camel	Product apache camel
CVE-2013-4330	Apache Camel 2.9.7 , 2.10.0 2.10.7 , 2.11.0 2.11.2 , 2.12.0 allows remote attackers execute arbitrary simple language expressions including `` $ simple { } '' CamelFileName message header ( 1 ) FILE ( 2 ) FTP producer .
jetbrains kotlin	Product jetbrains kotlin
jetbrains ktor	Product jetbrains ktor
CVE-2019-10102	JetBrains Ktor framework ( created using Kotlin IDE template ) versions 1.1.0 resolving artifacts using http connection build process , potentially allowing MITM attack . issue fixed Kotlin plugin version 1.3.30 .
apache spark	Product apache spark
CVE-2018-17190	versions Apache Spark , standalone resource manager accepts code execute 'master ' host , runs code 'worker ' hosts . master , design , execute user code . specially-crafted request master , however , cause master execute code . Note affect standalone clusters authentication enabled . master host typically less outbound access resources worker , execution code master nevertheless unexpected .
tiny tinymce	Product tiny tinymce
CVE-2020-12648	cross-site scripting ( XSS ) vulnerability TinyMCE 5.2.1 earlier allows remote attackers inject arbitrary web script configured classic editing mode .
CVE-2011-3190	Certain AJP protocol connector implementations Apache Tomcat 7.0.0 7.0.20 , 6.0.0 6.0.33 , 5.5.0 5.5.33 , possibly versions allow remote attackers spoof AJP requests , bypass authentication , obtain sensitive information causing connector interpret request body new request .
CWE-674	Uncontrolled Recursion
apache orc	Product apache orc
CVE-2018-8015	Apache ORC 1.0.0 1.4.3 malformed ORC file trigger endlessly recursive function call C++ Java parser . impact bug likely denial-of-service software uses ORC file parser . C++ parser , stack overflow might possibly corrupt stack .
jenkins gitlab	Product jenkins gitlab
CVE-2019-10301	missing permission check Jenkins GitLab Plugin 1.5.11 earlier GitLabConnectionConfig # doTestConnection form validation method allowed attackers Overall/Read permission connect attacker-specified URL using attacker-specified credentials IDs obtained another method , capturing credentials stored Jenkins .
alkacon opencms_apollo_template	Product alkacon opencms_apollo_template
CVE-2019-13234	Alkacon OpenCms Apollo Template 10.5.4 10.5.5 , XSS search engine .
jenkins groovy	Product jenkins groovy
CVE-2019-1003006	sandbox bypass vulnerability exists Jenkins Groovy Plugin 2.0 earlier src/main/java/hudson/plugins/groovy/StringScriptSource.java allows attackers Overall/Read permission provide Groovy script HTTP endpoint result arbitrary code execution Jenkins master JVM .
exadel flamingo	Product exadel flamingo
CVE-2017-3202	Java implementation AMF3 deserializers used Flamingo amf-serializer Exadel , version 2.2.0 , may allow instantiation arbitrary classes via public parameter-less constructor subsequently call arbitrary Java Beans setter methods . ability exploit vulnerability depends availability classes class path make use deserialization . remote attacker ability spoof control information may able send serialized Java objects pre-set properties result arbitrary code execution deserialized .
netapp cloud_backup	Product netapp cloud_backup
netapp service_level_manager	Product netapp service_level_manager
oracle application_testing_suite	Product oracle application_testing_suite
oracle communications_policy_management	Product oracle communications_policy_management
oracle communications_billing_and_revenue_management	Product oracle communications_billing_and_revenue_management
oracle communications_services_gatekeeper	Product oracle communications_services_gatekeeper
oracle retail_merchandising_system	Product oracle retail_merchandising_system
oracle communications_evolved_communications_application_server	Product oracle communications_evolved_communications_application_server
oracle goldengate_application_adapters	Product oracle goldengate_application_adapters
oracle data_integrator	Product oracle data_integrator
oracle banking_virtual_account_management	Product oracle banking_virtual_account_management
oracle insurance_rules_palette	Product oracle insurance_rules_palette
oracle commerce_platform	Product oracle commerce_platform
oracle communications_unified_inventory_management	Product oracle communications_unified_inventory_management
oracle retail_xstore_point_of_service	Product oracle retail_xstore_point_of_service
oracle retail_service_backbone	Product oracle retail_service_backbone
oracle jd_edwards_enterpriseone_tools	Product oracle jd_edwards_enterpriseone_tools
oracle jd_edwards_enterpriseone_orchestrator	Product oracle jd_edwards_enterpriseone_orchestrator
oracle insurance_policy_administration	Product oracle insurance_policy_administration
oracle primavera_gateway	Product oracle primavera_gateway
oracle communications_network_charging_and_control	Product oracle communications_network_charging_and_control
oracle communications_convergent_charging_controller	Product oracle communications_convergent_charging_controller
oracle retail_customer_management_and_segmentation_foundation	Product oracle retail_customer_management_and_segmentation_foundation
oracle autovue_for_agile_product_lifecycle_management	Product oracle autovue_for_agile_product_lifecycle_management
oracle banking_credit_facilities_process_management	Product oracle banking_credit_facilities_process_management
oracle banking_corporate_lending_process_management	Product oracle banking_corporate_lending_process_management
oracle banking_supply_chain_finance	Product oracle banking_supply_chain_finance
oracle banking_treasury_management	Product oracle banking_treasury_management
oracle communications_diameter_signaling_route	Product oracle communications_diameter_signaling_route
oracle communications_session_route_manager	Product oracle communications_session_route_manager
oracle communications_session_report_manager	Product oracle communications_session_report_manager
oracle communications_pricing_design_center	Product oracle communications_pricing_design_center
oracle communications_offline_mediation_controller	Product oracle communications_offline_mediation_controller
oracle communications_element_manager	Product oracle communications_element_manager
oracle blockchain_platform	Product oracle blockchain_platform
CVE-2020-36179	FasterXML jackson-databind 2.x 2.9.10.8 mishandles interaction serialization gadgets typing , related oadd.org.apache.commons.dbcp.cpdsadapter.DriverAdapterCPDS .
jenkins git_changelog	Product jenkins git_changelog
CVE-2019-10414	Jenkins Git Changelog Plugin 2.17 earlier stored credentials unencrypted job config.xml files Jenkins master could viewed users Extended Read permission , access master file system .
jenkins bitbucket_oauth	Product jenkins bitbucket_oauth
CVE-2019-10460	Jenkins Bitbucket OAuth Plugin 0.9 earlier stored credentials unencrypted global config.xml configuration file Jenkins master could viewed users access master file system .
CWE-269	Improper Privilege Management
pivotal_software cloud_foundry_uaa	Product pivotal_software cloud_foundry_uaa
cloudfoundry cloud_foundry_uaa_bosh	Product cloudfoundry cloud_foundry_uaa_bosh
cloudfoundry cf-release	Product cloudfoundry cf-release
CVE-2017-4992	issue discovered Cloud Foundry Foundation cf-release versions prior v261 ; UAA release 2.x versions prior v2.7.4.17 , 3.6.x versions prior v3.6.11 , 3.9.x versions prior v3.9.13 , versions prior v4.2.0 ; UAA bosh release ( uaa-release ) 13.x versions prior v13.15 , 24.x versions prior v24.10 , 30.x versions prior 30.3 , versions prior v37 . privilege escalation ( arbitrary password reset ) user invitations .
pivotal_software cloud_foundry_uaa-release	Product pivotal_software cloud_foundry_uaa-release
cloudfoundry cf-deployment	Product cloudfoundry cf-deployment
CVE-2018-1262	Cloud Foundry Foundation UAA , versions 4.12.X 4.13.X , introduced feature could allow privilege escalation across identity zones clients performing offline validation . zone administrator could configure zone issue tokens impersonate another zone , granting admin privileges impersonated zone clients performing offline token validation .
netapp steelstore_cloud_integrated_storage	Product netapp steelstore_cloud_integrated_storage
netapp active_iq_unified_manager	Product netapp active_iq_unified_manager
oracle weblogic_server	Product oracle weblogic_server
oracle enterprise_manager_base_platform	Product oracle enterprise_manager_base_platform
oracle retail_sales_audit	Product oracle retail_sales_audit
oracle communications_contacts_server	Product oracle communications_contacts_server
oracle global_lifecycle_management_opatch	Product oracle global_lifecycle_management_opatch
CVE-2020-11620	FasterXML jackson-databind 2.x 2.9.10.4 mishandles interaction serialization gadgets typing , related org.apache.commons.jelly.impl.Embedded ( aka commons-jelly ) .
adm-zip_project adm-zip	Product adm-zip_project adm-zip
CVE-2018-1002204	adm-zip npm library 0.4.9 vulnerable directory traversal , allowing attackers write arbitrary files via .. / ( dot dot slash ) Zip archive entry mishandled extraction . vulnerability also known 'Zip-Slip ' .
jenkins config_file_provider	Product jenkins config_file_provider
CVE-2019-1003014	cross-site scripting vulnerability exists Jenkins Config File Provider Plugin 3.4.1 earlier src/main/resources/lib/configfiles/configfiles.jelly allows attackers permission define shared configuration files execute arbitrary JavaScript user attempts delete shared configuration file .
CVE-2016-3723	Jenkins 2.3 LTS 1.651.2 allow remote authenticated users read access obtain sensitive plugin installation information leveraging missing permissions checks unspecified XML/JSON API endpoints .
jenkins current_versions_systems	Product jenkins current_versions_systems
CVE-2020-2184	cross-site request forgery vulnerability Jenkins CVS Plugin 2.15 earlier allows attackers create manipulate tags , connect attacker-specified URL .
CVE-2017-15703	authenticated user ( valid client certificate without ACL permissions ) could upload template contained malicious code caused denial service via Java deserialization attack . fix properly handle Java deserialization applied Apache NiFi 1.4.0 release . Users running prior 1.x release upgrade appropriate release .
CVE-2017-1000391	Jenkins versions 2.88 earlier 2.73.2 earlier stores metadata related 'people ' , encompasses actual user accounts , well users appearing SCM , directories corresponding user ID disk . directories used user ID name without additional escaping , potentially resulting problems like overwriting unrelated configuration files .
apache jackrabbit	Product apache jackrabbit
CVE-2016-6801	Cross-site request forgery ( CSRF ) vulnerability CSRF content-type check Jackrabbit-Webdav Apache Jackrabbit 2.4.x 2.4.6 , 2.6.x 2.6.6 , 2.8.x 2.8.3 , 2.10.x 2.10.4 , 2.12.x 2.12.4 , 2.13.x 2.13.3 allows remote attackers hijack authentication unspecified victims requests create resource via HTTP POST request ( 1 ) missing ( 2 ) crafted Content-Type header .
weblizar pinterest-feeds	Product weblizar pinterest-feeds
CVE-2018-5653	issue discovered weblizar-pinterest-feeds plugin 1.1.1 WordPress . XSS exists via wp-admin/admin-ajax.php weblizar_pffree_settings_save_get-users parameter .
apache log4j	Product apache log4j
siemens logo\\!_soft_comfort	Product siemens logo\\!_soft_comfort
siemens spectrum_power_4	Product siemens spectrum_power_4
siemens siveillance_control_pro	Product siemens siveillance_control_pro
siemens energyip_prepay	Product siemens energyip_prepay
siemens siveillance_identity	Product siemens siveillance_identity
siemens siveillance_command	Product siemens siveillance_command
siemens sipass_integrated	Product siemens sipass_integrated
siemens head-end_system_universal_device_integration_system	Product siemens head-end_system_universal_device_integration_system
siemens gma-manager	Product siemens gma-manager
siemens energyip	Product siemens energyip
siemens energy_engage	Product siemens energy_engage
siemens e-car_operation_center	Product siemens e-car_operation_center
siemens desigo_cc_info_center	Product siemens desigo_cc_info_center
siemens desigo_cc_advanced_reports	Product siemens desigo_cc_advanced_reports
siemens comos	Product siemens comos
siemens captial	Product siemens captial
siemens navigator	Product siemens navigator
siemens xpedition_package_integrator	Product siemens xpedition_package_integrator
siemens xpedition_enterprise	Product siemens xpedition_enterprise
siemens vesys	Product siemens vesys
siemens teamcenter	Product siemens teamcenter
siemens spectrum_power_7	Product siemens spectrum_power_7
siemens solid_edge_harness_design	Product siemens solid_edge_harness_design
siemens solid_edge_cam_pro	Product siemens solid_edge_cam_pro
siemens siveillance_viewpoint	Product siemens siveillance_viewpoint
siemens siveillance_vantage	Product siemens siveillance_vantage
siemens siguard_dsa	Product siemens siguard_dsa
siemens sentron_powermanager	Product siemens sentron_powermanager
siemens operation_scheduler	Product siemens operation_scheduler
siemens nx	Product siemens nx
siemens opcenter_intelligence	Product siemens opcenter_intelligence
siemens mindsphere	Product siemens mindsphere
siemens mendix	Product siemens mendix
siemens industrial_edge_management_hub	Product siemens industrial_edge_management_hub
siemens industrial_edge_management	Product siemens industrial_edge_management
intel audio_development_kit	Product intel audio_development_kit
intel system_debugger	Product intel system_debugger
intel secure_device_onboard	Product intel secure_device_onboard
intel oneapi_sample_browser	Product intel oneapi_sample_browser
intel sensor_solution_firmware_development_kit	Product intel sensor_solution_firmware_development_kit
intel computer_vision_annotation_tool	Product intel computer_vision_annotation_tool
intel genomics_kernel_library	Product intel genomics_kernel_library
intel system_studio	Product intel system_studio
intel data_center_manager	Product intel data_center_manager
fedoraproject fedora	Product fedoraproject fedora
sonicwall email_security	Product sonicwall email_security
netapp cloud_insights	Product netapp cloud_insights
netapp cloud_manager	Product netapp cloud_manager
netapp cloud_secure_agent	Product netapp cloud_secure_agent
netapp ontap_tools	Product netapp ontap_tools
cisco unified_communications_manager_im_and_presence_service	Product cisco unified_communications_manager_im_and_presence_service
cisco unified_customer_voice_portal	Product cisco unified_customer_voice_portal
cisco webex_meetings_server	Product cisco webex_meetings_server
cisco packaged_contact_center_enterprise	Product cisco packaged_contact_center_enterprise
cisco identity_services_engine	Product cisco identity_services_engine
cisco data_center_network_manager	Product cisco data_center_network_manager
cisco unified_contact_center_express	Product cisco unified_contact_center_express
cisco finesse	Product cisco finesse
cisco nexus_dashboard	Product cisco nexus_dashboard
cisco network_services_orchestrator	Product cisco network_services_orchestrator
cisco iot_operations_dashboard	Product cisco iot_operations_dashboard
cisco intersight_virtual_appliance	Product cisco intersight_virtual_appliance
cisco evolved_programmable_network_manager	Product cisco evolved_programmable_network_manager
cisco dna_spaces\\	Product cisco dna_spaces\\
cisco cyber_vision_sensor_management_extension	Product cisco cyber_vision_sensor_management_extension
cisco crosswork_zero_touch_provisioning	Product cisco crosswork_zero_touch_provisioning
cisco crosswork_platform_infrastructure	Product cisco crosswork_platform_infrastructure
cisco crosswork_optimization_engine	Product cisco crosswork_optimization_engine
cisco crosswork_network_controller	Product cisco crosswork_network_controller
cisco crosswork_data_gateway	Product cisco crosswork_data_gateway
cisco common_services_platform_collector	Product cisco common_services_platform_collector
cisco cloudcenter	Product cisco cloudcenter
cisco cloudcenter_workload_manager	Product cisco cloudcenter_workload_manager
cisco cloudcenter_suite_admin	Product cisco cloudcenter_suite_admin
cisco cloudcenter_cost_optimizer	Product cisco cloudcenter_cost_optimizer
cisco business_process_automation	Product cisco business_process_automation
cisco automated_subsea_tuning	Product cisco automated_subsea_tuning
cisco nexus_insights	Product cisco nexus_insights
cisco advanced_malware_protection_virtual_private_cloud_appliance	Product cisco advanced_malware_protection_virtual_private_cloud_appliance
cisco customer_experience_cloud_agent	Product cisco customer_experience_cloud_agent
cisco workload_optimization_manager	Product cisco workload_optimization_manager
cisco ucs_central	Product cisco ucs_central
cisco ucs_director	Product cisco ucs_director
cisco sd-wan_vmanage	Product cisco sd-wan_vmanage
cisco optical_network_controller	Product cisco optical_network_controller
cisco fog_director	Product cisco fog_director
cisco dna_center	Product cisco dna_center
cisco integrated_management_controller_supervisor	Product cisco integrated_management_controller_supervisor
cisco wan_automation_engine	Product cisco wan_automation_engine
cisco virtualized_infrastructure_manager	Product cisco virtualized_infrastructure_manager
cisco network_assurance_engine	Product cisco network_assurance_engine
cisco virtual_topology_system	Product cisco virtual_topology_system
cisco smart_phy	Product cisco smart_phy
cisco prime_service_catalog	Product cisco prime_service_catalog
cisco connected_mobile_experiences	Product cisco connected_mobile_experiences
cisco video_surveillance_operations_manager	Product cisco video_surveillance_operations_manager
cisco unity_connection	Product cisco unity_connection
cisco virtualized_voice_browser	Product cisco virtualized_voice_browser
cisco unified_workforce_optimization	Product cisco unified_workforce_optimization
cisco unified_sip_proxy	Product cisco unified_sip_proxy
cisco unified_intelligence_center	Product cisco unified_intelligence_center
cisco unified_contact_center_enterprise	Product cisco unified_contact_center_enterprise
cisco unified_communications_manager	Product cisco unified_communications_manager
cisco paging_server	Product cisco paging_server
cisco enterprise_chat_and_email	Product cisco enterprise_chat_and_email
cisco emergency_responder	Product cisco emergency_responder
cisco contact_center_management_portal	Product cisco contact_center_management_portal
cisco contact_center_domain_manager	Product cisco contact_center_domain_manager
